G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
2	5	54	26	28	5	7.0	21.875	2	5	2	3	3	8.0	25.0	5	49	24	25	5	8.0	25.0	4
2	5	54	26	28	5	7.0	21.875	2	5	2	3	3	8.0	25.0	3	10	4	6	3	12.0	37.5	2
2	2	8	3	5	3	8.0	25.0	3	11	4	7	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1
2	4	11	5	6	4	8.0	25.0	2	6	2	4	3	8.0	25.0	3	10	4	6	4	12.0	37.5	3
2	4	11	5	6	4	8.0	25.0	2	6	2	4	3	8.0	25.0	3	7	3	4	3	10.0	31.25	2
2	4	15	7	8	4	6.0	18.75	3	11	4	7	3	8.0	25.0	3	9	4	5	3	18.0	56.25	2
2	4	11	4	7	4	8.0	25.0	4	49	20	29	5	8.0	25.0	5	23	10	13	5	9.0	28.125	3
2	4	11	4	7	4	8.0	25.0	4	49	20	29	5	8.0	25.0	4	37	14	23	5	9.0	28.125	2
2	2	6	2	4	3	8.0	25.0	3	9	4	5	5	7.0	21.875	3	10	4	6	4	10.0	31.25	3
2	4	10	4	6	5	8.0	25.0	4	15	7	8	4	6.0	18.75	5	17	6	11	5	10.0	31.25	4
2	4	10	4	6	5	8.0	25.0	4	15	7	8	4	6.0	18.75	4	8	5	3	2	16.0	50.0	2
2	4	11	4	7	4	8.0	25.0	2	6	2	4	3	8.0	25.0	3	8	3	5	3	10.0	31.25	2
2	2	8	3	5	3	8.0	25.0	3	9	4	5	5	7.0	21.875	2	8	3	5	4	10.0	31.25	2
2	2	8	3	5	3	8.0	25.0	3	9	4	5	5	7.0	21.875	3	9	4	5	3	12.0	37.5	3
2	3	8	3	5	3	8.0	25.0	2	5	2	3	3	8.0	25.0	2	5	2	3	3	12.0	37.5	2
2	3	9	4	5	5	7.0	21.875	4	51	20	31	5	6.0	18.75	2	9	3	6	3	10.0	31.25	2
2	4	51	20	31	5	6.0	18.75	2	6	2	4	3	8.0	25.0	4	48	18	30	5	9.0	28.125	3
