G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
5	6.0	0.46875	9	8.0	0.59375	10	7.0	0.5	10
5	8.0	0.59375	10	6.0	0.4375	9	9.0	0.5625	11
5	4.0	0.46875	8	6.0	0.46875	7	7.0	0.5	9
5	6.0	0.46875	9	9.0	0.5	12	7.0	0.4375	10
5	9.0	0.5	12	8.0	0.5625	9	8.0	0.53125	10
5	6.0	0.46875	7	9.0	0.65625	10	6.0	0.4375	8
5	8.0	0.46875	12	9.0	0.6875	10	10.0	0.5625	12
6	8.0	0.46875	9	6.0	0.4375	9	8.0	0.4375	9
6	8.0	0.5	9	6.0	0.375	9	7.0	0.40625	10
6	6.0	0.46875	5	7.0	0.40625	10	9.0	0.4375	12
6	9.0	0.65625	9	8.0	0.53125	10	6.0	0.4375	8
6	9.0	0.4375	11	7.0	0.46875	10	8.0	0.4375	11
6	8.0	0.59375	9	9.0	0.4375	11	9.0	0.5625	10
6	8.0	0.46875	9	8.0	0.59375	10	7.0	0.5625	9
6	6.0	0.4375	9	8.0	0.46875	9	7.0	0.46875	9
6	6.0	0.4375	9	8.0	0.53125	10	8.0	0.46875	9
6	8.0	0.4375	10	9.0	0.4375	11	9.0	0.46875	11
6	8.0	0.5625	9	6.0	0.4375	9	7.0	0.40625	10
6	6.0	0.4375	9	8.0	0.4375	12	7.0	0.40625	10
6	9.0	0.5625	11	7.0	0.46875	10	8.0	0.4375	11
6	7.0	0.40625	10	6.0	0.4375	9	5.0	0.5	7
6	6.0	0.4375	9	8.0	0.59375	9	9.0	0.46875	11
6	8.0	0.59375	10	8.0	0.4375	12	7.0	0.5625	9
6	7.0	0.40625	10	7.0	0.4375	10	5.0	0.5	7
7	8.0	0.53125	10	6.0	0.4375	9	7.0	0.46875	9
7	9.0	0.5	11	8.0	0.59375	9	8.0	0.53125	10
7	10.0	0.53125	12	8.0	0.4375	12	8.0	0.4375	10
7	7.0	0.40625	10	8.0	0.4375	10	9.0	0.46875	11
7	6.0	0.4375	9	8.0	0.59375	9	8.0	0.46875	10
7	8.0	0.5	9	8.0	0.46875	9	8.0	0.4375	9
7	8.0	0.53125	10	8.0	0.46875	9	8.0	0.4375	9
8	8.0	0.53125	10	7.0	0.40625	9	9.0	0.46875	10
8	7.0	0.46875	10	7.0	0.40625	9	8.0	0.4375	11
8	8.0	0.4375	11	8.0	0.46875	9	8.0	0.4375	9
8	7.0	0.40625	9	7.0	0.40625	9	8.0	0.4375	9
8	8.0	0.46875	9	8.0	0.4375	11	8.0	0.4375	9
8	7.0	0.40625	10	7.0	0.46875	10	8.0	0.4375	11
8	7.0	0.46875	10	7.0	0.5	8	9.0	0.46875	10
8	7.0	0.46875	10	8.0	0.46875	10	9.0	0.5	9
8	8.0	0.53125	10	8.0	0.46875	9	8.0	0.4375	9
8	7.0	0.46875	10	7.0	0.46875	10	8.0	0.4375	11
8	8.0	0.4375	11	8.0	0.46875	9	8.0	0.4375	9
8	8.0	0.46875	10	7.0	0.46875	10	8.0	0.4375	11
8	8.0	0.46875	9	7.0	0.40625	10	8.0	0.4375	9
9	8.0	0.4375	11	8.0	0.4375	11	9.0	0.46875	10
9	8.0	0.4375	11	8.0	0.4375	9	9.0	0.46875	10
9	8.0	0.4375	11	8.0	0.4375	11	9.0	0.46875	10
9	7.0	0.40625	9	8.0	0.4375	9	8.0	0.4375	9
9	7.0	0.46875	10	8.0	0.4375	11	9.0	0.46875	10
9	8.0	0.46875	10	8.0	0.46875	10	9.0	0.5	9
9	8.0	0.46875	10	8.0	0.4375	11	9.0	0.5	9
9	8.0	0.4375	11	8.0	0.46875	10	9.0	0.5	9
9	8.0	0.4375	11	8.0	0.46875	10	8.0	0.4375	11
10	8.0	0.4375	11	9.0	0.46875	10	10.0	0.5	9
10	8.0	0.4375	11	8.0	0.4375	11	9.0	0.46875	10
10	8.0	0.4375	11	8.0	0.4375	9	9.0	0.46875	10
10	9.0	0.46875	10	8.0	0.4375	9	9.0	0.46875	10
10	9.0	0.46875	10	8.0	0.4375	11	9.0	0.46875	10
11	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
11	8.0	0.4375	11	9.0	0.46875	10	9.0	0.46875	10
11	8.0	0.4375	9	9.0	0.46875	10	10.0	0.5	9
