G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
4	6	51	20	31	5	6.0	18.75	5	119	55	64	5	6.0	18.75	6	58	23	35	5	5.0	15.625	4
4	4	48	18	30	5	4.0	12.5	4	18	7	11	4	6.0	18.75	4	46	17	29	5	3.0	9.375	3
4	4	52	20	32	5	6.0	18.75	5	119	55	64	5	6.0	18.75	5	120	55	65	5	5.0	15.625	5
4	6	122	56	66	5	6.0	18.75	5	51	21	30	5	5.0	15.625	5	52	21	31	5	4.0	12.5	4
4	6	122	56	66	5	6.0	18.75	5	51	21	30	5	5.0	15.625	6	119	55	64	5	5.0	15.625	3
4	6	122	56	66	5	6.0	18.75	5	51	21	30	5	5.0	15.625	5	54	22	32	5	4.0	12.5	4
4	8	61	25	36	5	6.0	18.75	3	10	4	6	3	6.0	18.75	8	60	25	35	5	4.0	12.5	4
4	5	50	24	26	5	7.0	21.875	3	9	4	5	5	5.0	15.625	6	51	25	26	5	6.0	18.75	4
4	4	15	7	8	4	6.0	18.75	3	10	4	6	5	5.0	15.625	6	22	10	12	5	5.0	15.625	4
4	5	25	9	16	5	5.0	15.625	6	29	13	16	5	6.0	18.75	9	50	21	29	5	4.0	12.5	4
4	4	50	19	31	5	5.0	15.625	6	122	56	66	5	6.0	18.75	6	106	49	57	5	5.0	15.625	3
4	4	51	20	31	5	6.0	18.75	3	10	4	6	3	6.0	18.75	5	53	21	32	5	5.0	15.625	4
4	5	54	21	33	5	6.0	18.75	4	50	19	31	5	5.0	15.625	4	41	16	25	5	4.0	12.5	3
4	3	10	4	6	3	6.0	18.75	8	61	25	36	5	6.0	18.75	8	63	26	37	5	4.0	12.5	4
4	5	119	55	64	5	6.0	18.75	5	54	21	33	5	6.0	18.75	5	121	55	66	5	5.0	15.625	5
4	5	50	24	26	5	7.0	21.875	5	50	24	26	5	7.0	21.875	5	50	24	26	5	6.0	18.75	5
4	3	11	4	7	4	6.0	18.75	6	29	13	16	5	6.0	18.75	3	19	8	11	5	5.0	15.625	1
4	5	47	18	29	5	4.0	12.5	7	55	23	32	5	5.0	15.625	7	71	29	42	5	4.0	12.5	4
4	3	11	4	7	4	6.0	18.75	4	15	7	8	4	6.0	18.75	5	22	10	12	5	5.0	15.625	3
4	6	47	21	26	5	6.0	18.75	6	29	13	16	5	6.0	18.75	8	69	30	39	5	5.0	15.625	4
4	5	120	54	66	5	4.0	12.5	4	51	20	31	5	6.0	18.75	7	158	70	88	5	4.0	12.5	4
4	3	10	4	6	3	6.0	18.75	5	119	55	64	5	6.0	18.75	5	113	52	61	5	5.0	15.625	3
4	5	54	21	33	5	6.0	18.75	4	18	7	11	4	6.0	18.75	4	17	7	10	5	5.0	15.625	3
4	7	55	23	32	5	5.0	15.625	5	119	55	64	5	6.0	18.75	8	119	57	62	5	4.0	12.5	4
4	9	74	30	44	5	6.0	18.75	5	54	21	33	5	6.0	18.75	9	125	50	75	5	5.0	15.625	4
4	4	52	20	32	5	6.0	18.75	5	51	21	30	5	5.0	15.625	4	44	17	27	5	5.0	15.625	2
4	6	61	24	37	5	6.0	18.75	8	61	25	36	5	6.0	18.75	6	76	31	45	5	5.0	15.625	4
4	9	74	30	44	5	6.0	18.75	6	51	20	31	5	6.0	18.75	6	41	17	24	5	5.0	15.625	3
4	5	47	18	29	5	4.0	12.5	8	61	25	36	5	6.0	18.75	8	76	31	45	5	4.0	12.5	4
4	5	15	7	8	4	6.0	18.75	5	47	18	29	5	4.0	12.5	5	46	18	28	5	3.0	9.375	4
4	4	12	6	6	5	5.0	15.625	5	119	55	64	5	6.0	18.75	5	112	53	59	5	4.0	12.5	3
4	4	51	20	31	5	6.0	18.75	5	54	21	33	5	6.0	18.75	3	19	8	11	5	5.0	15.625	1
4	4	18	7	11	4	6.0	18.75	5	47	18	29	5	4.0	12.5	5	49	19	30	5	3.0	9.375	3
5	5	52	21	31	5	5.0	15.625	6	123	55	68	5	4.0	12.5	9	172	75	97	5	4.0	12.5	4
