Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
50	21933958	0.0	0.0	0.5	9	100.0	93.44262295081968	17	488	227	261	5	0
49	20976307	0.0	0.0	0.5	9	100.0	93.44262295081968	17	488	227	261	5	17
48	23264051	0.0	0.0	0.5	9	99.38650306748467	93.4560327198364	17	489	227	262	5	12
47	5849096	0.0	0.0	0.5	9	97.54098360655738	93.4020618556701	17	485	227	258	5	13
46	1904280	0.0	0.0	0.5	9	93.30708661417323	93.7007874015748	17	508	237	271	5	8
45	32290388	0.0	0.0	0.5	9	92.71653543307087	93.7007874015748	17	508	237	271	5	3
44	1392284	0.0	0.0	0.5	9	91.796875	93.75	17	512	240	272	5	13
43	24320815	0.0	0.0	0.5	9	91.30434782608695	93.67588932806325	17	506	238	268	5	13
42	17045421	0.0	0.0	0.5	9	91.66666666666666	93.65079365079364	17	504	237	267	5	11
41	1504335	0.0	0.0	0.5	9	91.23505976095618	93.62549800796812	17	502	235	267	5	13
40	16664142	0.0	0.0	0.5	9	90.8183632734531	93.6127744510978	17	501	235	266	5	12
39	33172286	0.0	0.0	0.5	9	90.01996007984032	93.6127744510978	17	501	237	264	5	13
38	13261376	0.0	0.0	0.5	9	92.41803278688525	93.31941544885177	17	479	227	252	5	9
37	21406487	0.0	0.0	0.5	9	85.65573770491804	92.85714285714286	17	448	214	234	5	11
36	17960685	0.0	0.0	0.5	9	84.42622950819673	92.7927927927928	17	444	213	231	5	20
50	15052830	0.0	0.0	0.5	9	100.0	93.4156378600823	17	486	233	253	5	11
49	9190498	0.0	0.0	0.5	9	95.46351084812623	93.68836291913215	17	507	243	264	5	11
48	30533386	0.0	0.0	0.5	9	95.06903353057199	93.68836291913215	17	507	243	264	5	8
47	19425177	0.0	0.0	0.5	9	94.85148514851485	93.66336633663367	17	505	242	263	5	5
46	11605581	0.0	0.0	0.5	9	85.80246913580247	92.7765237020316	17	443	212	231	5	10
45	8786515	0.0	0.0	0.5	9	85.59670781893004	92.80898876404494	17	445	213	232	5	5
44	32190111	0.0	0.0	0.5	9	84.97942386831275	92.80898876404494	17	445	213	232	5	20
50	26051605	0.0	0.0	0.5	9	100.0	92.55813953488372	17	430	205	225	5	14
49	7344688	0.0	0.0	0.5	9	94.65116279069767	92.1760391198044	17	409	195	214	5	6
48	21629812	0.0	0.0	0.5	9	91.42212189616254	92.7765237020316	17	443	212	231	5	5
47	6204417	0.0	0.0	0.5	9	90.74492099322799	92.7765237020316	17	443	212	231	5	0
46	8038902	0.0	0.0	0.5	9	90.74492099322799	92.7765237020316	17	443	212	231	5	0
45	29984942	0.0	0.0	0.5	9	90.74492099322799	92.7765237020316	17	443	212	231	5	7
44	17892731	0.0	0.0	0.5	9	90.31531531531532	92.7927927927928	17	444	213	231	5	0
43	8498575	0.0	0.0	0.5	9	90.31531531531532	92.7927927927928	17	444	213	231	5	0
42	19427002	0.0	0.0	0.5	9	90.31531531531532	92.7927927927928	17	444	213	231	5	11
41	27646656	0.0	0.0	0.5	9	90.51918735891647	92.7765237020316	17	443	213	230	5	13
40	30969189	0.0	0.0	0.5	9	89.84198645598194	92.7765237020316	17	443	213	230	5	13
39	17960685	0.0	0.0	0.5	9	89.1891891891892	92.7927927927928	17	444	213	231	5	20
50	31096965	0.0	0.0	0.5	9	100.0	94.49225473321859	17	581	273	308	5	13
49	5430994	0.0	0.0	0.5	9	99.14089347079039	94.50171821305841	17	582	275	307	5	8
48	14994305	0.0	0.0	0.5	9	97.59036144578313	94.43478260869566	17	575	273	302	5	5
47	13086685	0.0	0.0	0.5	9	89.84509466437177	93.99624765478424	17	533	253	280	5	11
46	5249001	0.0	0.0	0.5	9	89.67297762478485	94.01869158878505	17	535	254	281	5	14
45	29548296	0.0	0.0	0.5	9	87.60757314974182	93.91634980988593	17	526	250	276	5	12
44	33147961	0.0	0.0	0.5	9	86.91910499139415	93.9047619047619	17	525	250	275	5	14
43	31996673	0.0	0.0	0.5	9	86.40275387263338	93.88145315487571	17	523	249	274	5	9
42	21963694	0.0	0.0	0.5	9	86.23063683304647	93.88145315487571	17	523	249	274	5	9
41	17264786	0.0	0.0	0.5	9	85.02581755593803	93.81044487427465	17	517	246	271	5	11
40	7916459	0.0	0.0	0.5	9	79.34595524956971	93.44262295081968	15	488	231	257	5	9
39	5602395	0.0	0.0	0.5	9	79.17383820998279	93.46938775510203	15	490	231	259	5	12
38	31225742	0.0	0.0	0.5	9	79.34595524956971	93.4560327198364	15	489	231	258	5	9
37	17740413	0.0	0.0	0.5	9	79.00172117039587	93.48268839103869	15	491	231	260	5	8
36	9066661	0.0	0.0	0.5	9	69.19104991394148	92.5754060324826	15	431	202	229	5	20
50	2866307	0.0	0.0	0.5	9	100.0	93.5871743486974	17	499	238	261	5	14
49	23066758	0.0	0.0	0.5	9	98.99799599198397	93.57429718875501	17	498	236	262	5	11
48	20951638	0.0	0.0	0.5	9	98.39679358717434	93.56136820925553	17	497	236	261	5	14
47	29379590	0.0	0.0	0.5	9	98.19639278557113	93.5871743486974	17	499	237	262	5	13
46	1023560	0.0	0.0	0.5	9	93.5871743486974	93.31941544885177	17	479	227	252	5	12
45	28841125	0.0	0.0	0.5	9	92.78557114228457	93.38842975206612	17	484	227	257	5	6
44	4884983	0.0	0.0	0.5	9	90.78156312625251	93.30543933054393	17	478	223	255	5	5
43	14182629	0.0	0.0	0.5	9	90.18036072144288	93.29140461215934	17	477	223	254	5	14
42	5022475	0.0	0.0	0.5	9	90.18036072144288	93.26315789473684	17	475	223	252	5	10
41	23029	0.0	0.0	0.5	9	89.57915831663327	93.29140461215934	17	477	225	252	5	13
40	12116679	0.0	0.0	0.5	9	88.97795591182364	93.27731092436974	17	476	225	251	5	9
39	11355025	0.0	0.0	0.5	9	88.17635270541082	93.24894514767934	17	474	225	249	5	10
38	7525605	0.0	0.0	0.5	9	87.5751503006012	93.3609958506224	17	482	229	253	5	11
37	13261376	0.0	0.0	0.5	9	86.37274549098196	93.31941544885177	17	479	227	252	5	9
36	21406487	0.0	0.0	0.5	9	79.75951903807615	92.85714285714286	17	448	214	234	5	11
35	17960685	0.0	0.0	0.5	9	78.55711422845691	92.7927927927928	17	444	213	231	5	20
50	23416315	0.0	0.0	0.5	9	100.0	93.67588932806325	17	506	241	265	5	13
49	15139323	0.0	0.0	0.5	9	98.62745098039215	93.72549019607843	17	510	242	268	5	8
48	12048244	0.0	0.0	0.5	9	97.23320158102767	93.62549800796812	17	502	239	263	5	9
47	29379590	0.0	0.0	0.5	9	96.04743083003953	93.5871743486974	17	499	237	262	5	13
46	1023560	0.0	0.0	0.5	9	91.50197628458498	93.31941544885177	17	479	227	252	5	12
45	28841125	0.0	0.0	0.5	9	90.71146245059289	93.38842975206612	17	484	227	257	5	6
44	4884983	0.0	0.0	0.5	9	88.73517786561264	93.30543933054393	17	478	223	255	5	5
43	14182629	0.0	0.0	0.5	9	88.14229249011858	93.29140461215934	17	477	223	254	5	14
42	5022475	0.0	0.0	0.5	9	88.14229249011858	93.26315789473684	17	475	223	252	5	10
41	23029	0.0	0.0	0.5	9	87.54940711462451	93.29140461215934	17	477	225	252	5	13
40	12116679	0.0	0.0	0.5	9	86.95652173913044	93.27731092436974	17	476	225	251	5	9
39	11355025	0.0	0.0	0.5	9	86.16600790513834	93.24894514767934	17	474	225	249	5	10
38	7525605	0.0	0.0	0.5	9	85.57312252964427	93.3609958506224	17	482	229	253	5	11
37	13261376	0.0	0.0	0.5	9	84.38735177865613	93.31941544885177	17	479	227	252	5	9
36	21406487	0.0	0.0	0.5	9	77.86561264822134	92.85714285714286	17	448	214	234	5	11
35	17960685	0.0	0.0	0.5	9	76.6798418972332	92.7927927927928	17	444	213	231	5	20
50	31641022	0.0	0.0	0.5	9	100.0	94.37609841827768	17	569	266	303	5	13
49	23333185	0.0	0.0	0.5	9	98.76977152899823	94.33628318584071	17	565	265	300	5	15
48	19624980	0.0	0.0	0.5	9	95.43057996485061	94.25493716337523	17	557	261	296	5	11
47	15075934	0.0	0.0	0.5	9	94.37609841827768	94.2133815551537	17	553	259	294	5	20
50	20030745	0.0	0.0	0.5	9	100.0	93.52226720647774	17	494	237	257	5	12
49	13539466	0.0	0.0	0.5	9	98.99598393574297	93.57429718875501	17	498	239	259	5	13
