G	P1F	P1B	P2F	P2B	CF	CB
1	8.0	25.0	10.0	31.25	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	11.0	34.375	15.0	46.875	14.0	43.75
1	11.0	34.375	15.0	46.875	14.0	43.75
1	8.0	25.0	10.0	31.25	6.0	18.75
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	9.0	28.125
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	12.0	37.5
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	9.0	28.125	10.0	31.25	9.0	28.125
1	9.0	28.125	10.0	31.25	13.0	40.625
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	16.0	50.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	8.0	25.0
1	8.0	25.0	2.0	6.25	10.0	31.25
1	8.0	25.0	2.0	6.25	8.0	25.0
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	22.0	68.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	9.0	28.125	14.0	43.75
1	10.0	31.25	9.0	28.125	9.0	28.125
1	10.0	31.25	10.0	31.25	12.0	37.5
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	14.0	43.75
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	22.0	68.75
1	10.0	31.25	9.0	28.125	10.0	31.25
1	10.0	31.25	9.0	28.125	10.0	31.25
1	2.0	6.25	9.0	28.125	10.0	31.25
1	2.0	6.25	9.0	28.125	9.0	28.125
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	8.0	25.0
1	8.0	25.0	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	22.0	68.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	11.0	34.375
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	9.0	28.125
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	12.0	37.5
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
2	7.0	21.875	8.0	25.0	8.0	25.0
2	7.0	21.875	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	10.0	31.25
2	6.0	18.75	8.0	25.0	5.0	15.625
2	6.0	18.75	8.0	25.0	18.0	56.25
2	8.0	25.0	8.0	25.0	9.0	28.125
2	8.0	25.0	8.0	25.0	9.0	28.125
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	7.0	21.875	8.0	25.0
2	8.0	25.0	7.0	21.875	10.0	31.25
2	8.0	25.0	6.0	18.75	10.0	31.25
2	8.0	25.0	6.0	18.75	16.0	50.0
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	7.0	21.875	10.0	31.25
2	8.0	25.0	7.0	21.875	12.0	37.5
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	8.0	25.0
2	7.0	21.875	6.0	18.75	10.0	31.25
2	7.0	21.875	6.0	18.75	5.0	15.625
2	6.0	18.75	8.0	25.0	9.0	28.125
2	6.0	18.75	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	6.0	18.75
2	8.0	25.0	8.0	25.0	6.0	18.75
2	8.0	25.0	8.0	25.0	14.0	43.75
2	8.0	25.0	6.0	18.75	10.0	31.25
2	8.0	25.0	6.0	18.75	6.0	18.75
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	6.0	18.75	10.0	31.25
2	8.0	25.0	6.0	18.75	8.0	25.0
2	6.0	18.75	8.0	25.0	7.0	21.875
2	6.0	18.75	8.0	25.0	10.0	31.25
2	8.0	25.0	10.0	31.25	12.0	37.5
2	8.0	25.0	10.0	31.25	7.0	21.875
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	10.0	31.25	11.0	34.375
2	8.0	25.0	10.0	31.25	11.0	34.375
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	5.0	15.625
2	8.0	25.0	8.0	25.0	22.0	68.75
2	8.0	25.0	8.0	25.0	10.0	31.25
2	10.0	31.25	8.0	25.0	8.0	25.0
2	10.0	31.25	8.0	25.0	8.0	25.0
2	10.0	31.25	8.0	25.0	10.0	31.25
2	10.0	31.25	8.0	25.0	8.0	25.0
2	6.0	18.75	7.0	21.875	8.0	25.0
2	6.0	18.75	7.0	21.875	10.0	31.25
2	7.0	21.875	8.0	25.0	9.0	28.125
2	7.0	21.875	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	8.0	25.0
2	6.0	18.75	9.0	28.125	5.0	15.625
2	6.0	18.75	9.0	28.125	9.0	28.125
2	7.0	21.875	8.0	25.0	12.0	37.5
2	7.0	21.875	8.0	25.0	8.0	25.0
2	8.0	25.0	10.0	31.25	8.0	25.0
2	8.0	25.0	10.0	31.25	8.0	25.0
2	10.0	31.25	10.0	31.25	10.0	31.25
2	10.0	31.25	10.0	31.25	10.0	31.25
2	10.0	31.25	8.0	25.0	10.0	31.25
2	10.0	31.25	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	7.0	21.875
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	7.0	21.875	10.0	31.25
2	8.0	25.0	7.0	21.875	8.0	25.0
2	8.0	25.0	6.0	18.75	18.0	56.25
2	8.0	25.0	6.0	18.75	19.0	59.375
2	8.0	25.0	7.0	21.875	10.0	31.25
2	8.0	25.0	7.0	21.875	10.0	31.25
2	10.0	31.25	10.0	31.25	10.0	31.25
2	10.0	31.25	10.0	31.25	10.0	31.25
2	8.0	25.0	8.0	25.0	12.0	37.5
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	6.0	18.75	10.0	31.25
2	8.0	25.0	6.0	18.75	8.0	25.0
2	8.0	25.0	10.0	31.25	10.0	31.25
2	8.0	25.0	10.0	31.25	8.0	25.0
2	9.0	28.125	6.0	18.75	9.0	28.125
2	9.0	28.125	6.0	18.75	16.0	50.0
2	9.0	28.125	9.0	28.125	10.0	31.25
2	9.0	28.125	9.0	28.125	6.0	18.75
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	12.0	37.5
2	7.0	21.875	8.0	25.0	10.0	31.25
2	7.0	21.875	8.0	25.0	6.0	18.75
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	9.0	28.125
