G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	2.0	0.75	2	3.0	0.25	5	2.0	0.75	2
1	2.0	0.75	2	3.0	0.25	5	1.0	0.25	2
1	4.0	0.75	5	1.0	0.25	2	1.0	0.5	1
1	4.0	0.75	5	1.0	0.25	2	2.0	0.5	3
1	4.0	0.5	6	2.0	0.375	3	3.0	0.3125	5
1	4.0	0.5	6	2.0	0.375	3	2.0	0.75	2
1	2.0	0.375	4	1.0	0.25	2	1.0	0.125	3
1	2.0	0.375	4	1.0	0.25	2	3.0	0.5	4
1	2.0	0.375	3	4.0	0.75	5	2.0	0.5	3
1	2.0	0.375	3	4.0	0.75	5	5.0	0.6875	4
1	4.0	0.5	6	2.0	0.375	3	1.0	0.25	2
1	4.0	0.5	6	2.0	0.375	3	6.0	0.75	5
1	2.0	0.375	3	3.0	0.625	4	3.0	0.5	4
1	2.0	0.375	3	3.0	0.625	4	2.0	0.5	3
1	4.0	0.75	5	2.0	0.375	3	4.0	0.75	5
1	4.0	0.75	5	2.0	0.375	3	1.0	0.5	1
1	3.0	0.625	4	2.0	0.75	2	5.0	0.6875	5
1	3.0	0.625	4	2.0	0.75	2	4.0	0.6875	5
1	7.0	0.5625	10	2.0	0.75	2	7.0	0.5625	10
1	7.0	0.5625	10	2.0	0.75	2	1.0	0.5	1
1	4.0	0.75	5	2.0	0.375	3	3.0	0.875	3
1	4.0	0.75	5	2.0	0.375	3	2.0	0.25	5
1	1.0	0.25	2	7.0	0.5625	10	1.0	0.5	1
1	1.0	0.25	2	7.0	0.5625	10	7.0	0.5625	10
1	2.0	0.375	4	7.0	0.5625	10	3.0	0.3125	6
1	2.0	0.375	4	7.0	0.5625	10	1.0	0.5	1
1	2.0	0.375	3	1.0	0.5	1	1.0	0.25	2
1	2.0	0.375	3	1.0	0.5	1	1.0	0.5	1
1	3.0	0.625	4	8.0	0.625	9	2.0	0.5	3
1	3.0	0.625	4	8.0	0.625	9	8.0	0.71875	8
1	4.0	0.75	5	2.0	0.375	3	4.0	0.75	5
1	4.0	0.75	5	2.0	0.375	3	1.0	0.25	2
1	1.0	0.5	1	7.0	0.5625	10	1.0	0.25	2
1	1.0	0.5	1	7.0	0.5625	10	8.0	0.59375	11
1	3.0	0.625	3	5.0	0.34375	10	2.0	0.1875	4
1	3.0	0.625	3	5.0	0.34375	10	2.0	0.375	4
1	3.0	0.625	3	1.0	0.5	1	4.0	0.9375	4
1	3.0	0.625	3	1.0	0.5	1	3.0	0.3125	4
1	3.0	0.625	4	2.0	0.75	2	2.0	0.75	2
1	3.0	0.625	4	2.0	0.75	2	3.0	0.625	4
1	2.0	0.375	4	2.0	0.75	2	1.0	0.5	1
1	2.0	0.375	4	2.0	0.75	2	3.0	0.625	3
1	1.0	0.5	1	3.0	0.625	3	1.0	0.25	2
1	1.0	0.5	1	3.0	0.625	3	1.0	0.5	1
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	3.0	0.25	6	3.0	0.5	4
1	2.0	0.75	2	3.0	0.25	6	1.0	0.5	1
1	3.0	0.625	4	2.0	0.375	3	3.0	0.5	4
1	3.0	0.625	4	2.0	0.375	3	2.0	0.5	3
1	3.0	0.5	4	2.0	0.75	2	2.0	0.75	2
1	3.0	0.5	4	2.0	0.75	2	1.0	0.5	1
1	3.0	0.5625	5	2.0	0.75	2	2.0	0.75	2
1	3.0	0.5625	5	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	2.0	0.75	2	2.0	0.75	2
1	2.0	0.5	3	3.0	0.25	6	3.0	0.5	4
1	2.0	0.5	3	3.0	0.25	6	2.0	0.375	3
1	1.0	0.5	1	1.0	0.5	1	1.0	0.5	1
1	1.0	0.5	1	1.0	0.5	1	1.0	0.5	1
1	2.0	0.375	3	3.0	0.5625	5	2.0	0.1875	4
1	2.0	0.375	3	3.0	0.5625	5	1.0	0.5	1
1	3.0	0.25	6	3.0	0.5	4	3.0	0.5	4
1	3.0	0.25	6	3.0	0.5	4	3.0	0.25	6
1	3.0	0.625	3	7.0	0.5625	10	4.0	0.75	4
1	3.0	0.625	3	7.0	0.5625	10	7.0	0.5625	10
1	12.0	0.65625	12	1.0	0.25	2	12.0	0.65625	13
1	12.0	0.65625	12	1.0	0.25	2	1.0	0.25	2
1	12.0	0.65625	12	4.0	0.75	5	9.0	0.75	10
1	12.0	0.65625	12	4.0	0.75	5	3.0	0.875	3
1	4.0	0.75	5	1.0	0.25	2	1.0	0.25	2
1	4.0	0.75	5	1.0	0.25	2	4.0	0.75	5
1	3.0	0.25	6	1.0	0.5	1	1.0	0.5	1
1	3.0	0.25	6	1.0	0.5	1	3.0	0.25	6
1	1.0	0.5	1	2.0	0.375	3	2.0	0.375	3
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	2.0	0.75	2	1.0	0.5	1	1.0	0.5	1
1	2.0	0.75	2	1.0	0.5	1	2.0	0.75	2
1	2.0	0.75	2	2.0	0.375	3	3.0	0.5	4
1	2.0	0.75	2	2.0	0.375	3	1.0	0.5	1
1	5.0	0.34375	10	7.0	0.5625	10	6.0	0.3125	11
1	5.0	0.34375	10	7.0	0.5625	10	5.0	0.625	7
1	3.0	0.8125	4	8.0	0.625	9	2.0	0.625	3
1	3.0	0.8125	4	8.0	0.625	9	8.0	0.625	9
1	5.0	0.8125	5	5.0	0.8125	5	1.0	0.25	2
1	5.0	0.8125	5	5.0	0.8125	5	2.0	0.75	2
1	2.0	0.75	2	1.0	0.25	2	2.0	0.75	2
1	2.0	0.75	2	1.0	0.25	2	2.0	0.75	2
1	8.0	0.625	9	2.0	0.375	4	7.0	0.59375	10
1	8.0	0.625	9	2.0	0.375	4	2.0	0.375	4
1	4.0	0.75	5	2.0	0.75	2	4.0	0.75	5
1	4.0	0.75	5	2.0	0.75	2	2.0	0.75	2
